Event_Date,sentiment_score,CAR_minus_1,CAR_0,CAR_1,CAR_2
2023-03-15,0.0174,0.005849901924023605,-0.003751125628338901,0.0025573264989466413,0.016758019364242815
2023-07-11,0.3403,-0.010914328149199742,-0.006231149968814048,0.003751717875700871,0.017918343881748563
2023-07-19,0.292,0.004759440889678706,-0.01113799012616782,-0.005573722792873707,-0.029565516978115144
2023-09-27,0.3973,0.01654203707386241,0.0056984215916955445,0.0018030494213370904,0.0066607757619427145
2023-10-17,0.652,-0.01009773001907852,-0.044205686557814046,-0.06328790542252927,-0.05184392253197606
2023-12-03,0.0219,-0.007698904547349535,-0.011543816263088666,0.004805758376450876,-0.00932782833964061
2024-03-04,0.0559,0.00872686628304279,0.04077697422482042,0.08207730963719555,0.0996191013294587
2024-07-24,0.3509,-0.0027937292396854295,0.002952300686101361,0.005935220484678441,-0.010377989425419058
2024-09-13,0.8442,-0.004731541767221837,-0.012385795561843525,-0.024166961924926535,-0.037636662635743764
2024-12-09,0.1363,-0.04017095903056014,-0.010168202906980854,-0.031589250816588685,-0.042326712911018
2024-12-11,0.1594,-0.021259456036372457,-0.010776952263120074,-0.01239431830863512,-0.05404900238716419
2025-01-20,0.1957,-0.0069596821794839225,0.008275625172959843,0.023390525748729858,0.018032492036481378
2025-02-18,0.2896,0.015683890607954776,-0.002215231918903657,-0.00502631061766939,0.010129734049855742
2025-03-25,0.9375,-0.017273158336187817,-0.01914728229192658,-0.03696467097169361,-0.045675783239848555
2025-08-07,0.8094,-0.016357240471662406,0.0008382511720989028,-0.00562540306785431,-0.004658550494023191
2026-02-14,0.4803,-0.02615215247969247,0.012756539979523047,0.01652884135053388,0.02147288670997894
