event_date,avg_ai_sentiment,num_ai_articles,avg_nvda_relevance
2022-11-30 00:00:00,0.5412896551724138,29,0.3427625862068966
2022-12-01 05:28:08,0.9118,1,0.0
2022-12-01 05:54:28,0.7906,1,0.0
2022-12-01 14:55:00,0.8225,1,0.0
2022-12-02 06:30:00,0.6943,1,0.0
2022-12-05 18:26:41,-0.4588,1,0.0
2022-12-06 05:44:49,-0.6705,1,0.0
2022-12-07 05:23:05,0.802,1,0.0
2022-12-07 18:26:41,-0.7964,1,0.0
2022-12-08 05:33:56,-0.7579,1,0.0
2022-12-08 05:45:03,0.91,1,0.0
2022-12-08 18:06:53,0.9042,1,0.0
2022-12-09 17:46:17,0.5859,1,0.0
2022-12-13 17:46:17,0.6124,1,0.0
2022-12-14 05:27:02,0.8481,1,0.0
2022-12-14 05:29:30,-0.1796,1,0.0
2022-12-14 08:05:00,0.9062,1,0.0
2022-12-15 17:46:33,0.9677,1,0.0
2022-12-18 17:46:15,0.9001,1,0.0
2022-12-19 17:55:59,0.7717,1,0.0
2022-12-27 18:37:00,0.8519,1,0.0
2022-12-31 23:59:59,0.79355,2,0.0
2023-01-03 03:59:02,0.25,1,0.0
2023-01-03 04:22:18,0.9524,1,0.0
2023-01-03 09:00:00,0.8834,1,0.0
2023-01-09 04:55:56,0.8546,1,0.0
2023-01-10 04:18:37,0.8519,1,0.0
2023-01-10 04:25:42,0.796,1,0.0
2023-01-10 04:34:43,0.9432,1,0.0
2023-01-12 04:52:00,-0.6601,1,0.0
2023-02-27 04:02:00,0.6486,1,0.0
2023-03-01 02:35:09,0.6908,1,0.564977
2023-03-02 02:37:39,0.8625,1,0.0
2023-03-03 02:44:02,0.8,1,0.0
2023-03-06 02:36:14,0.9062,1,0.0
2023-03-06 02:53:02,0.836,1,0.0
2023-03-14 02:29:09,0.969,1,0.0
2023-03-15 02:45:06,-0.6249,1,0.0
2023-03-28 02:44:02,0.7269,1,0.0
2023-03-28 02:44:22,0.9452,1,0.0
2023-03-28 02:53:02,-0.6124,1,0.0
2023-03-31 02:55:50,0.9136,1,0.649367
2023-04-12 02:10:01,0.7351,1,0.0
2023-04-18 02:13:07,-0.6106,1,0.0
2023-04-19 02:13:07,0.9746,1,0.0
2023-04-20 14:49:49,0.5629,1,0.0
2023-04-25 01:51:59,0.9477,1,0.0
2023-04-28 07:55:00,0.9545,1,0.0
2023-05-22 00:00:00,0.3182,1,0.610327
2023-05-23 00:00:00,0.8689,1,0.616944
2023-05-23 23:39:34,0.9062,1,0.627426
2023-05-24 00:00:00,0.6851173333333334,150,0.6783561933333333
