Date,Close,High,Low,Open,Volume
2020-04-03,177.09376525878906,180.66713664284723,175.08495593438872,179.19915776414615,47487600
2020-04-06,189.7550506591797,190.88500315636537,182.714572873169,183.96041339985334,64763500
2020-04-07,189.67779541015625,195.72354331489208,189.29149213713953,195.44346091590847,69904500
2020-04-08,193.70509338378906,194.2845483290108,189.4556834361989,191.36790980752508,45940400
2020-04-09,193.9851531982422,196.26437792469775,192.21778695074894,195.42416018310405,68252600
2020-04-13,196.0808563232422,196.4575071371494,191.94734979340546,193.15456582984197,42853900
2020-04-14,204.60865783691406,205.22675193563566,199.35485062951767,200.1371243614047,63959600
2020-04-15,202.26174926757812,204.57961235777697,200.03081691144556,201.3442682416021,47036000
2020-04-16,205.95106506347656,207.0327259650037,202.5129159951729,204.44446174019964,64657400
2020-04-17,207.92127990722656,209.09952424373802,204.82115657291044,208.77116493330766,62863200
2020-04-20,205.45855712890625,208.49108381558787,205.29437748424988,206.05733168430316,38249100
2020-04-21,197.877197265625,203.932597119078,196.66032878826886,203.3917666846975,72932800
2020-04-22,203.7490997314453,205.08187098267123,201.19945999205072,201.9431092141937,40089100
2020-04-23,203.31451416015625,207.10034214349758,202.90889131228306,204.54103512758533,43278500
2020-04-24,206.52088928222656,206.9651513344646,202.3294381106388,203.7491255617453,34231900
2020-04-27,208.1820526123047,209.2154369303088,207.15833545693548,208.79049439716798,36451700
2020-04-28,204.2609405517578,209.88174513834431,203.98087293294373,209.88174513834431,46862800
2020-04-29,211.5042724609375,212.44107338546277,207.77638834773578,208.79045287533302,48716400
2020-04-30,211.41734313964844,212.50865646516988,209.91073981579444,212.42174044337628,43359500
2020-05-01,205.45855712890625,209.25403801564116,204.43482535127114,207.1583123352251,48795000
2020-05-04,207.85360717773438,208.07573077839098,203.89393310825727,204.2223070347106,32841000
2020-05-05,210.2101287841797,212.60524140247904,209.42785510852917,209.9976575714691,37783100
2020-05-06,211.5042724609375,213.47444276143392,210.64473513948423,211.89057573977195,36455200
2020-05-07,214.22775268554688,215.10659482861956,212.8756617777369,214.22775268554688,38624800
2020-05-08,217.16368103027344,217.29888863818735,214.86513695921292,215.89852096982384,31852300
2020-05-11,219.1049041748047,220.128621142671,215.60881081589696,215.84060162875423,35714100
2020-05-12,214.51751708984375,220.29285086058465,214.4885450756534,219.70372867783442,41054100
2020-05-13,211.83262634277344,216.92225369989848,209.29265361270694,215.03899947448033,65521200
2020-05-14,214.2374267578125,214.27605119381286,208.59731596406328,210.50954238140108,51549300
2020-05-15,215.6281280517578,215.68607207020938,210.85720737890446,211.2918022538168,55747200
2020-05-18,219.6457061767578,220.85292220614207,217.75279969513662,218.5350733243338,42398100
2020-05-19,219.09523010253906,221.98289623923193,218.95037006914487,219.90647576259502,36237300
2020-05-20,223.47019958496094,223.8275308564137,221.62556973619712,221.64488932118866,37417000
2020-05-21,221.03643798828125,224.19451948437748,220.52457953233147,223.51848140449331,43642900
2020-05-22,221.79942321777344,222.00222728846185,219.71335007153678,220.63083144321163,28762400
2020-05-26,221.2006072998047,225.57557187225572,220.9591640870647,225.37275308948347,33055300
2020-05-27,222.40786743164062,222.5237702175574,216.27521745482932,220.862639405846,55665600
2020-05-28,222.1180877685547,225.47897292870002,221.2102589942772,221.2682030034399,42784300
2020-05-29,225.372802734375,225.60459357481275,220.93024074674634,222.4948031307782,50691800
2020-06-01,226.04884338378906,226.42549429325658,224.0593532088309,224.50361530702403,25776000
2020-06-02,227.5651092529297,227.6230532782803,224.06900077932698,226.47378098706872,33383400
2020-06-03,228.5887908935547,229.34209257938343,227.29465873959504,228.17350088204523,37228700
2020-06-04,226.98562622070312,229.65115438627208,225.68182678063243,228.24113406363668,38716100
2020-06-05,231.48609924316406,232.07522127740808,227.56506378818975,228.13486623900093,47365600
2020-06-08,233.28248596191406,233.4080264390754,229.76707260737527,231.34127267684426,32937300
2020-06-09,234.97251892089844,235.8223889413976,232.23938020140483,232.42287938635488,35046300
2020-06-10,237.7926788330078,239.33792184989457,236.14120017450344,236.6627259557278,58084400
2020-06-11,226.0101776123047,235.25261657892358,225.95223359629532,233.8715684089503,72919400
2020-06-12,227.80654907226562,232.17183259666058,223.80824928171896,230.90667227387442,72034800
2020-06-15,230.57827758789062,231.25431566388,223.54745212455148,224.48425300718134,45307400
2020-06-16,234.5379638671875,236.02524770750486,230.9163153500075,235.43612562591588,48890100
2020-06-17,235.28163146972656,237.09728956374468,234.422094023702,236.0349332881963,34749300
2020-06-18,235.91903686523438,236.16048012506343,234.19030960893033,234.9629162511616,30578600
2020-06-19,235.88043212890625,238.54596063489907,234.15168999168736,238.28519776627672,49422100
2020-06-22,238.709228515625,238.83498729885778,235.4585876156787,235.74881154787224,24068700
2020-06-23,240.74085998535156,242.97567274457055,239.7540691320293,240.30550934275024,32767400
2020-06-24,235.77780151367188,241.21487860014443,234.27824752813524,239.98621007187438,46032400
2020-06-25,238.02232360839844,238.322231504084,233.29148174788256,235.86490879175327,36940800
2020-06-26,232.40138244628906,237.95456371796433,231.87894996050554,237.78041463531986,52824600
2020-06-29,234.9361572265625,234.94584119916232,229.6248525472428,232.15957332663174,34377800
2020-06-30,239.54124450683594,240.08301554399114,234.68462883150275,234.8684471681419,38909200
2020-07-01,242.33717346191406,243.33364832067178,239.03815701076502,239.5799280296446,34689200
2020-07-02,243.98184204101562,245.99414496054678,243.51746898640175,244.78482936675303,31956500
2020-07-06,249.98007202148438,250.5024751273051,247.11639129095556,247.13574447485212,34589000
2020-07-07,248.25796508789062,252.38900604586954,247.95805718300818,249.72851174337242,36578200
2020-07-08,251.52798461914062,251.55700701531356,248.15158459234928,249.58342502693569,30426300
2020-07-09,253.64669799804688,254.31424260771402,249.2448007829336,253.44354123293766,40312900
2020-07-10,255.37841796875,255.6299650471857,250.8217253109411,253.50155790112584,32885300
2020-07-13,250.12513732910156,261.00897620103956,249.30279693169464,258.22270872593504,64108100
2020-07-14,251.8955841064453,252.3019271171447,244.53327053443735,247.60009296158933,72230500
2020-07-15,252.4083709716797,254.14011934814144,249.10935414724085,253.30809478080585,54523900
2020-07-16,250.68626403808594,251.32478617232272,247.3001805992664,249.62206048102462,47594100
2020-07-17,250.97653198242188,251.83754932542152,248.79976393164944,251.1409823682021,35137900
2020-07-20,258.09698486328125,258.725823103141,250.36704859363883,251.61504110027627,40610100
2020-07-21,255.40750122070312,259.6739709771937,254.56582213375208,259.66428700285246,43243800
2020-07-22,256.30712890625,257.2359043650542,254.00458772495364,255.90081547678648,29865500
2020-07-23,249.61244201660156,256.60710506156016,248.1999400352882,255.90088359521226,51363500
2020-07-24,247.24215698242188,248.56756217519336,243.1401678560097,245.77162505827138,54054500
2020-07-27,251.65367126464844,252.0406462547425,248.10313808705376,248.88677203739152,36445700
2020-07-28,248.45144653320312,251.3925100729386,248.1612226252013,250.87007751423138,31302400
2020-07-29,251.31512451171875,252.1761714056983,249.51567703900358,249.98971931474543,27556900
2020-07-30,252.6308135986328,253.1919229192316,248.19986571034966,249.35113626270052,41774500
2020-07-31,257.1392822265625,257.29407821401765,252.36006313952907,257.2553718360749,53686300
2020-08-03,260.61236572265625,261.35729353762446,259.1515029631688,259.2772765152185,32081600
2020-08-04,261.5797424316406,261.6764935608913,259.36426852628824,260.10919612534934,24911300
2020-08-05,262.2279357910156,262.6826395559107,261.17341632015274,262.06348543256706,21612100
2020-08-06,265.7011413574219,266.03007163056697,261.395966366894,262.03448849393004,28048200
2020-08-07,262.63427734375,265.93329323320563,260.4865320544736,265.15931367779456,44969400
2020-08-10,261.5121154785156,263.1277743454048,257.99060329263017,262.9245880376013,35088400
