CAR-1,CAR0,CAR1,CAR2,sentiment
0.0366953908952842,0.0903808160830212,0.0961738162170504,0.1014037382489827,0.0
0.0049517991885803,0.0380777916075815,0.0636221455463922,0.0539479386172198,0.0
0.0192241900587833,0.0340069011593306,-0.0074222518078967,0.001156107833526,0.2023
0.0178896878754617,0.0330937282387402,0.0293052981227304,0.0449118934431442,-0.2603
0.0429861256272234,0.0274946506525781,0.0195758566246733,0.0144729124797119,0.128
0.0052914759521709,0.0237684843835102,-0.0150841942676136,-0.0105004538025432,0.25
-0.0168801165144456,0.0208719564291886,0.014585398857673,-0.006263170160868,0.2732
0.0070172427653252,0.0160319632581547,0.0158136716972026,-0.0004052341101208,0.296
0.0052299220319322,0.0105213979841032,0.0289984064154424,-0.0098542722356813,-0.5994
-0.0388526786511238,-0.0342689381860534,0.0163135025989371,0.0169987961615167,0.8381
-0.0235935348803281,-0.0279973996186309,-0.032660962726549,-0.0543196825578113,0.886
-0.0043964603332342,-0.0202570182325529,-0.0270477758548223,-0.0177962729742752,0.8979
-0.0033838815028204,-0.0164712238256917,0.0007885513990154,0.0229038587766302,0.9041
-0.000737070798197,-0.0150295767864655,-0.0358016364021387,-0.0330122835284714,0.8807
-0.0172938803387816,-0.0148368706305959,0.0007768823714469,-0.0085867875217592,0.8658
0.0020717646813361,-0.0087627544876413,-0.0230357431094283,-0.0041724160854741,0.872
-0.0142859223718538,-0.0077250804713596,0.0037911090179779,0.0101675626598373,0.8957
0.0134220322115903,-0.006654449054208,-0.0118265643288726,0.0090083845058135,0.8591
-0.033785095630297,-0.0771419886021476,-0.0758945531509733,-0.0795608581364929,0.7717
-0.0388526786511238,-0.0342689381860534,0.0163135025989371,0.0169987961615167,0.8381
