Date,Close,High,Low,Open,Volume
2020-04-03,177.09376525878900,180.66713664284700,175.08495593438900,179.19915776414600,47487600
2020-04-06,189.7550506591800,190.88500315636500,182.714572873169,183.96041339985300,64763500
2020-04-07,189.67779541015600,195.72354331489200,189.29149213714000,195.44346091590800,69904500
2020-04-08,193.70509338378900,194.2845483290110,189.4556834361990,191.36790980752500,45940400
2020-04-09,193.9851531982420,196.26437792469800,192.21778695074900,195.42416018310400,68252600
2020-04-13,196.0808563232420,196.4575071371490,191.94734979340500,193.15456582984200,42853900
2020-04-14,204.60865783691400,205.22675193563600,199.35485062951800,200.1371243614050,63959600
2020-04-15,202.26174926757800,204.57961235777700,200.03081691144600,201.3442682416020,47036000
2020-04-16,205.95106506347700,207.0327259650040,202.5129159951730,204.44446174020000,64657400
2020-04-17,207.92127990722700,209.09952424373800,204.82115657291000,208.77116493330800,62863200
2020-04-20,205.45855712890600,208.49108381558800,205.29437748425000,206.05733168430300,38249100
2020-04-21,197.877197265625,203.932597119078,196.66032878826900,203.3917666846980,72932800
2020-04-22,203.7490997314450,205.08187098267100,201.19945999205100,201.9431092141940,40089100
2020-04-23,203.31451416015600,207.10034214349800,202.90889131228300,204.54103512758500,43278500
2020-04-24,206.52088928222700,206.9651513344650,202.3294381106390,203.7491255617450,34231900
2020-04-27,208.1820526123050,209.2154369303090,207.15833545693500,208.79049439716800,36451700
2020-04-28,204.2609405517580,209.88174513834400,203.98087293294400,209.88174513834400,46862800
2020-04-29,211.5042724609380,212.44107338546300,207.77638834773600,208.79045287533300,48716400
2020-04-30,211.41734313964800,212.50865646517000,209.91073981579400,212.42174044337600,43359500
2020-05-01,205.45855712890600,209.25403801564100,204.43482535127100,207.1583123352250,48795000
2020-05-04,207.85360717773400,208.07573077839100,203.89393310825700,204.2223070347110,32841000
2020-05-05,210.2101287841800,212.60524140247900,209.42785510852900,209.9976575714690,37783100
2020-05-06,211.5042724609380,213.47444276143400,210.64473513948400,211.89057573977200,36455200
2020-05-07,214.22775268554700,215.10659482862000,212.8756617777370,214.22775268554700,38624800
2020-05-08,217.16368103027300,217.29888863818700,214.86513695921300,215.89852096982400,31852300
2020-05-11,219.1049041748050,220.128621142671,215.60881081589700,215.84060162875400,35714100
2020-05-12,214.51751708984400,220.29285086058500,214.4885450756530,219.70372867783400,41054100
2020-05-13,211.83262634277300,216.92225369989800,209.29265361270700,215.03899947448000,65521200
2020-05-14,214.2374267578130,214.27605119381300,208.59731596406300,210.50954238140100,51549300
2020-05-15,215.6281280517580,215.68607207020900,210.85720737890400,211.2918022538170,55747200
2020-05-18,219.6457061767580,220.85292220614200,217.75279969513700,218.5350733243340,42398100
2020-05-19,219.09523010253900,221.98289623923200,218.95037006914500,219.90647576259500,36237300
2020-05-20,223.47019958496100,223.8275308564140,221.62556973619700,221.64488932118900,37417000
2020-05-21,221.03643798828100,224.19451948437700,220.52457953233100,223.51848140449300,43642900
2020-05-22,221.79942321777300,222.00222728846200,219.71335007153700,220.63083144321200,28762400
2020-05-26,221.2006072998050,225.57557187225600,220.9591640870650,225.37275308948300,33055300
2020-05-27,222.40786743164100,222.5237702175570,216.27521745482900,220.862639405846,55665600
2020-05-28,222.1180877685550,225.47897292870000,221.2102589942770,221.2682030034400,42784300
2020-05-29,225.372802734375,225.60459357481300,220.93024074674600,222.4948031307780,50691800
2020-06-01,226.04884338378900,226.42549429325700,224.0593532088310,224.50361530702400,25776000
2020-06-02,227.5651092529300,227.6230532782800,224.06900077932700,226.47378098706900,33383400
2020-06-03,228.5887908935550,229.34209257938300,227.29465873959500,228.17350088204500,37228700
2020-06-04,226.98562622070300,229.65115438627200,225.68182678063200,228.24113406363700,38716100
2020-06-05,231.48609924316400,232.07522127740800,227.56506378819000,228.13486623900100,47365600
2020-06-08,233.28248596191400,233.4080264390750,229.76707260737500,231.34127267684400,32937300
2020-06-09,234.97251892089800,235.8223889413980,232.23938020140500,232.42287938635500,35046300
2020-06-10,237.7926788330080,239.33792184989500,236.14120017450300,236.6627259557280,58084400
